# WARNING - This exported Revigo data is only useful for the specific purpose of constructing a TreeMap visualization.
# Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
# threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
# To export a reduced-redundancy set of GO terms, go to the Scatterplot or Table tab, and export from there.
TermID	Name	Frequency	Value	Uniqueness	Dispensability	Representative
"GO:0003735"	"structural constituent of ribosome"	2.128498588986873	-2.3063453870079487	1	-0	null
"GO:0003955"	"NAD(P)H dehydrogenase (quinone) activity"	0.32041890398799755	-5.946673441464065	0.7400056158989043	0.03782958	null
"GO:0016765"	"transferase activity, transferring alkyl or aryl (other than methyl) groups"	0.9927517685284755	-14.124351859826227	0.9772580570277989	0	null
"GO:0016846"	"carbon-sulfur lyase activity"	0.2130833609374284	-2.6890263909525376	0.9794484639599235	0.03639583	null
"GO:0019843"	"rRNA binding"	1.1153325776412018	-6.900720816804705	0.835202566885766	0.05274861	null
"GO:0003723"	"RNA binding"	6.099813894661886	-2.125599608641549	0.8072398915118998	0.3443017	"rRNA binding"
"GO:0003743"	"translation initiation factor activity"	0.37315089336372126	-2.506156090153474	0.7572032240364351	0.24893209	"rRNA binding"
"GO:0051540"	"metal cluster binding"	1.944298077570841	-12.725269847452662	0.8954228081211022	-0	null
"GO:0051539"	"4 iron, 4 sulfur cluster binding"	1.062682635515558	-2.054019641899559	0.9024681871410898	0.15455964	"metal cluster binding"
"GO:1901363"	"heterocyclic compound binding"	20.072278748835316	-2.125599608641549	0.8620729997677683	0.23645146	"metal cluster binding"
"GO:0097159"	"organic cyclic compound binding"	39.22969739688024	-2.0791220405935267	0.8960665321996599	0.09126372	null
