# WARNING - This exported Revigo data is only useful for the specific purpose of constructing a TreeMap visualization.
# Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
# threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
# To export a reduced-redundancy set of GO terms, go to the Scatterplot or Table tab, and export from there.
TermID	Name	Frequency	Value	Uniqueness	Dispensability	Representative
"GO:0002181"	"cytoplasmic translation"	0.30687006719783905	-22.2495144239621	0.6537717495213964	0	null
"GO:0000096"	"sulfur amino acid metabolic process"	0.6402709259414305	-2.2541128739161547	0.657305718971886	0.55631336	"cytoplasmic translation"
"GO:0000460"	"maturation of 5.8S rRNA"	0.13956353459239157	-3.2794866582215425	0.6317435017052823	0.63698313	"cytoplasmic translation"
"GO:0000470"	"maturation of LSU-rRNA"	0.14326076431766677	-3.922886831195291	0.6310538737514458	0.42351605	"cytoplasmic translation"
"GO:0002183"	"cytoplasmic translational initiation"	0.12346322869484458	-3.5055139873691683	0.6531620701823336	0.46346812	"cytoplasmic translation"
"GO:0006396"	"RNA processing"	4.467702645863771	-2.500143701854688	0.5765718660997399	0.62308399	"cytoplasmic translation"
"GO:0006537"	"glutamate biosynthetic process"	0.07835812805236687	-2.1152806777703783	0.6004942068949972	0.50919689	"cytoplasmic translation"
"GO:0008652"	"amino acid biosynthetic process"	2.828030852968805	-2.3819145278208653	0.6436108455427967	0.26113292	"cytoplasmic translation"
"GO:0009067"	"aspartate family amino acid biosynthetic process"	0.7271117442502224	-3.5055139873691683	0.5174576447828639	0.64402474	"cytoplasmic translation"
"GO:0010467"	"gene expression"	13.109073483873399	-2.3263822734329542	0.5894919899029382	0.42780084	"cytoplasmic translation"
"GO:0016053"	"organic acid biosynthetic process"	4.319149498310446	-3.1869972932108914	0.5370530185553284	0.24790322	"cytoplasmic translation"
"GO:0016072"	"rRNA metabolic process"	1.511795030653258	-4.077529044837683	0.7579162328297245	0.16660899	"cytoplasmic translation"
"GO:0042273"	"ribosomal large subunit biogenesis"	0.4347743795865312	-2.924208026340194	0.8833192327249768	0.62751481	"cytoplasmic translation"
"GO:0043043"	"peptide biosynthetic process"	0.21889418283329953	-13.773969815035858	0.8118289533880934	0.14705947	"cytoplasmic translation"
"GO:0006450"	"regulation of translational fidelity"	0.2893564387600043	-2.9163987279484807	1	-0	null
"GO:0006616"	"SRP-dependent cotranslational protein targeting to membrane, translocation"	0.03596947190252802	-2.2847539712701317	0.9821667871820254	0.0127822	null
"GO:0008152"	"metabolic process"	55.714893667314946	-2.4449763332997145	1	-0	null
"GO:0009058"	"biosynthetic process"	29.083973867363177	-4.182953402612982	0.8421260604475806	0.09568932	null
"GO:0044237"	"cellular metabolic process"	35.76590662147671	-2.4174404971937933	0.832448903671638	0.22891344	"biosynthetic process"
"GO:1901564"	"organonitrogen compound metabolic process"	27.244450553230372	-3.2859366444593814	0.8440728793195891	0.20434134	"biosynthetic process"
"GO:0043603"	"amide metabolic process"	1.5312702295563652	-11.747550569633349	0.9003064304677143	0.05198569	null
"GO:0098754"	"detoxification"	1.0329101107303773	-2.1668723485354233	1	-0	null
