# WARNING - This exported Revigo data is only useful for the specific purpose of constructing a TreeMap visualization.
# Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
# threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
# To export a reduced-redundancy set of GO terms, go to the Scatterplot or Table tab, and export from there.
TermID	Name	Frequency	Value	Uniqueness	Dispensability	Representative
"GO:0002181"	"cytoplasmic translation"	0.3974763229665376	-17.14274818234325	0.5164752700491048	0	null
"GO:0002182"	"cytoplasmic translational elongation"	0.009651922492400466	-4.4285476623748155	0.6301040263110808	0.40463405	"cytoplasmic translation"
"GO:0009067"	"aspartate family amino acid biosynthetic process"	0.7567688912721283	-2.212843943007506	0.5976722519376751	0.32334479	"cytoplasmic translation"
"GO:0010467"	"gene expression"	12.663260691525247	-4.138339328135457	0.4805618916947253	0.45657675	"cytoplasmic translation"
"GO:0019538"	"protein metabolic process"	14.600987650961638	-3.304756031450534	0.5814010917657237	0.25311126	"cytoplasmic translation"
"GO:0043043"	"peptide biosynthetic process"	4.592791896959665	-12.285368524645675	0.4486401026509288	0.64900656	"cytoplasmic translation"
"GO:0043603"	"amide metabolic process"	6.707376287050344	-11.79550256030971	0.7467108711500258	0.13247309	"cytoplasmic translation"
"GO:0044237"	"cellular metabolic process"	46.10331480933213	-2.503313577130516	0.7803212979260934	0.13458491	"cytoplasmic translation"
"GO:0044271"	"cellular nitrogen compound biosynthetic process"	12.957025677761646	-5.19493801069893	0.5190400599529365	0.27730588	"cytoplasmic translation"
"GO:1901576"	"organic substance biosynthetic process"	28.21764434528959	-3.2318278568551717	0.5334216187336361	0.53115188	"cytoplasmic translation"
"GO:0042254"	"ribosome biogenesis"	2.136224808753416	-2.515962051932293	0.8566775221218071	0.01124266	null
